M/F,Age,Pace,Official Time,Year,qualifying
1,25,296,7757,2015,1
1,30,298,7788,2015,1
1,29,299,7822,2015,1
1,28,300,7847,2015,1
1,32,300,7849,2015,1
1,30,300,7852,2015,1
1,32,301,7880,2015,1
1,39,304,7962,2015,1
1,27,306,8015,2015,1
1,33,307,8032,2015,1
1,33,307,8032,2015,1
1,30,308,8057,2015,1
1,32,313,8185,2015,1
1,31,316,8282,2015,1
1,42,318,8324,2015,1
1,29,319,8352,2015,1
1,30,319,8357,2015,1
1,28,321,8404,2015,1
1,28,322,8425,2015,1
1,26,322,8435,2015,1
1,32,322,8442,2015,1
1,26,324,8470,2015,1
1,32,324,8476,2015,1
1,28,325,8518,2015,1
1,32,326,8525,2015,1
1,32,327,8550,2015,1
1,29,329,8601,2015,1
1,40,331,8677,2015,1
1,32,332,8684,2015,1
1,46,332,8689,2015,1
0,30,332,8695,2015,1
0,25,332,8699,2015,1
1,23,333,8708,2015,1
0,27,333,8709,2015,1
1,28,333,8710,2015,1
1,35,333,8710,2015,1
1,27,333,8714,2015,1
1,33,333,8728,2015,1
1,32,333,8731,2015,1
0,31,334,8739,2015,1
1,24,334,8747,2015,1
1,30,334,8747,2015,1
1,43,335,8758,2015,1
0,31,335,8765,2015,1
1,25,335,8769,2015,1
1,26,335,8775,2015,1
1,27,336,8784,2015,1
1,26,336,8789,2015,1
1,25,336,8795,2015,1
1,23,336,8796,2015,1
1,25,336,8798,2015,1
0,34,336,8800,2015,1
1,25,336,8801,2015,1
0,28,337,8812,2015,1
1,31,337,8821,2015,1
1,27,337,8828,2015,1
1,37,337,8830,2015,1
0,19,337,8834,2015,1
1,22,338,8836,2015,1
1,41,338,8840,2015,1
1,23,338,8857,2015,1
0,33,339,8867,2015,1
1,32,339,8869,2015,1
1,25,339,8873,2015,1
1,25,339,8874,2015,1
1,30,339,8877,2015,1
1,28,340,8890,2015,1
1,29,340,8894,2015,1
1,30,340,8897,2015,1
1,34,340,8898,2015,1
1,30,340,8903,2015,1
1,24,340,8909,2015,1
1,24,340,8913,2015,1
1,35,341,8924,2015,1
0,26,342,8947,2015,1
1,33,342,8956,2015,1
1,23,342,8960,2015,1
0,27,342,8963,2015,1
1,31,343,8967,2015,1
1,27,343,8977,2015,1
1,27,343,8978,2015,1
1,28,343,8982,2015,1
1,30,343,8985,2015,1
1,26,343,8989,2015,1
1,42,344,9003,2015,1
1,31,344,9015,2015,1
1,34,344,9017,2015,1
1,26,344,9019,2015,1
1,29,345,9028,2015,1
1,28,345,9029,2015,1
1,25,346,9068,2015,1
1,29,347,9078,2015,1
1,32,347,9083,2015,1
1,31,347,9094,2015,1
1,36,347,9098,2015,1
1,31,348,9117,2015,1
1,27,348,9119,2015,1
1,26,348,9121,2015,1
1,32,348,9122,2015,1
1,32,349,9125,2015,1
1,28,349,9126,2015,1
1,26,349,9126,2015,1
1,27,349,9127,2015,1
1,31,349,9129,2015,1
1,30,349,9135,2015,1
1,32,349,9142,2015,1
1,24,349,9144,2015,1
1,40,350,9153,2015,1
1,35,350,9153,2015,1
1,27,350,9156,2015,1
1,25,350,9159,2015,1
1,33,350,9168,2015,1
1,32,350,9171,2015,1
1,25,351,9177,2015,1
1,36,351,9178,2015,1
1,26,351,9183,2015,1
1,24,351,9187,2015,1
1,26,351,9193,2015,1
1,37,351,9193,2015,1
1,27,351,9194,2015,1
1,24,351,9202,2015,1
1,28,352,9203,2015,1
1,33,352,9215,2015,1
1,29,352,9216,2015,1
1,26,352,9216,2015,1
1,27,352,9226,2015,1
1,23,352,9227,2015,1
1,23,352,9227,2015,1
1,42,353,9231,2015,1
1,23,353,9238,2015,1
1,37,353,9239,2015,1
1,29,353,9243,2015,1
1,25,353,9243,2015,1
1,29,353,9243,2015,1
1,31,353,9244,2015,1
1,29,353,9252,2015,1
1,30,353,9254,2015,1
1,41,354,9256,2015,1
1,34,354,9269,2015,1
1,23,355,9282,2015,1
1,27,355,9292,2015,1
1,42,355,9300,2015,1
1,41,355,9303,2015,1
1,22,355,9305,2015,1
1,34,356,9312,2015,1
0,30,356,9318,2015,1
1,25,356,9319,2015,1
1,31,357,9342,2015,1
1,25,357,9342,2015,1
1,32,357,9348,2015,1
1,30,357,9350,2015,1
1,47,357,9350,2015,1
1,45,357,9351,2015,1
1,36,357,9355,2015,1
1,28,357,9357,2015,1
1,29,357,9358,2015,1
1,29,357,9359,2015,1
1,24,358,9361,2015,1
1,31,358,9361,2015,1
1,23,358,9361,2015,1
1,32,358,9364,2015,1
1,28,358,9365,2015,1
1,29,358,9367,2015,1
1,25,358,9376,2015,1
1,29,358,9384,2015,1
1,36,359,9392,2015,1
1,31,359,9392,2015,1
1,23,359,9394,2015,1
1,33,359,9396,2015,1
1,39,359,9401,2015,1
1,35,359,9402,2015,1
1,35,359,9403,2015,1
1,26,359,9405,2015,1
1,29,359,9407,2015,1
1,30,359,9408,2015,1
1,35,359,9408,2015,1
1,28,360,9414,2015,1
1,28,360,9417,2015,1
1,24,360,9418,2015,1
1,23,360,9419,2015,1
1,27,360,9423,2015,1
1,42,360,9425,2015,1
1,26,360,9425,2015,1
1,34,360,9430,2015,1
1,41,360,9432,2015,1
1,24,360,9433,2015,1
1,24,360,9439,2015,1
1,31,361,9440,2015,1
1,48,361,9440,2015,1
1,21,361,9442,2015,1
1,25,361,9443,2015,1
1,28,361,9444,2015,1
1,24,361,9444,2015,1
1,25,361,9444,2015,1
1,30,361,9446,2015,1
1,34,361,9447,2015,1
1,23,361,9448,2015,1
1,23,361,9449,2015,1
1,26,361,9451,2015,1
1,27,361,9451,2015,1
1,38,361,9452,2015,1
1,29,361,9452,2015,1
1,26,361,9456,2015,1
1,32,361,9460,2015,1
1,29,362,9468,2015,1
1,30,362,9469,2015,1
1,27,362,9469,2015,1
1,28,362,9470,2015,1
1,23,362,9471,2015,1
1,26,362,9474,2015,1
1,35,362,9485,2015,1
1,35,362,9487,2015,1
1,24,362,9488,2015,1
1,32,363,9496,2015,1
1,32,363,9500,2015,1
1,30,363,9511,2015,1
1,31,363,9512,2015,1
1,30,363,9515,2015,1
1,34,363,9516,2015,1
1,24,363,9516,2015,1
1,22,363,9516,2015,1
1,26,363,9516,2015,1
1,29,364,9527,2015,1
